Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I
Alimentos y bebidas no alcohólicas,15.499,16.007,16.418,17.185,16.075,16.744,17.008,17.931,16.794,17.123,17.762,18.615,17.412,17.586,18.057,19.222,18.075,18.181,18.672,19.655,18.629,18.960,19.419,20.456,18.886,19.649,19.988,21.096,20.330,20.656,21.176,22.067,21.104,21.643,21.928,22.814,21.685,21.894,22.415,23.750,22.547,22.655,23.310,24.213,23.072,23.014,23.290,24.318,23.261,23.558,24.308,25.151,24.048,24.393,24.901,25.397,24.523,25.146,25.878,27.187,27.876,27.045,27.428,29.235,28.024,27.765,28.973,30.362,29.306,29.900,30.438,31.501,29.918,29.865,30.342,31.181,30.152,30.378,31.007,32.009,31.135,31.407,31.925,32.561,31.402
"Bebidas alcohólicas, tabaco y estupefacientes",2.880,2.975,3.011,3.787,2.981,3.092,3.146,3.942,3.060,3.276,3.289,4.152,3.235,3.259,3.290,4.230,3.255,3.429,3.421,4.261,3.266,3.314,3.355,4.105,3.147,3.381,3.415,4.299,3.342,3.513,3.516,4.497,3.562,3.720,3.699,4.722,3.594,3.896,3.834,4.904,3.660,3.852,3.825,4.949,4.055,4.110,4.212,5.359,4.549,4.695,4.745,5.819,4.465,4.514,4.606,5.745,4.567,4.639,4.790,5.905,4.938,4.348,4.683,6.342,4.913,4.970,5.650,7.522,5.668,6.034,6.586,8.139,6.182,6.416,6.548,7.637,6.142,5.911,6.081,7.562,5.953,6.223,6.433,7.968,6.214
Prendas de vestir y calzado,4.269,5.101,5.170,7.919,4.445,5.336,5.584,8.653,5.046,5.624,5.796,9.025,5.250,5.749,5.908,9.083,5.147,5.715,5.644,9.011,5.306,6.015,6.453,10.143,5.816,7.077,7.243,11.472,6.697,7.584,7.678,11.614,6.943,7.774,7.836,12.335,7.198,8.138,7.948,12.875,7.305,7.948,8.128,13.011,7.675,8.300,8.463,13.758,7.569,8.380,8.606,13.968,7.868,8.672,8.762,14.176,7.857,8.825,9.082,15.023,7.504,3.424,6.650,14.532,7.551,7.979,10.271,17.917,10.045,11.610,11.709,18.278,9.561,10.301,10.347,16.214,8.936,9.950,10.220,16.933,9.505,10.560,10.684,17.364,9.861
"Alojamiento, agua, electricidad, gas y otros combustibles",14.318,14.527,14.638,14.837,14.906,15.177,15.341,15.504,15.554,15.705,15.802,15.978,15.805,16.099,16.274,16.483,16.424,16.832,17.057,17.289,17.270,17.555,17.685,17.837,17.795,18.129,18.312,18.520,18.669,19.048,19.213,19.529,19.494,19.957,20.170,20.366,20.324,20.727,20.925,21.018,20.990,21.362,21.626,21.819,21.676,21.923,22.150,22.321,22.148,22.472,22.743,22.975,22.867,23.273,23.713,23.855,23.784,24.049,24.357,24.383,24.306,24.260,24.735,24.954,25.019,25.223,25.573,25.762,25.668,25.845,26.030,26.082,26.119,26.455,26.725,26.821,26.969,26.952,27.096,27.163,27.197,27.398,27.686,27.835,27.801
"Muebles, artículos para el hogar y para la conservación ordinaria del hogar",3.343,3.575,3.841,4.248,3.635,3.863,4.177,4.649,4.010,4.067,4.440,4.890,4.277,4.304,4.617,4.968,4.200,4.190,4.501,5.047,4.406,4.481,4.848,5.422,4.567,4.803,5.185,5.765,5.073,5.065,5.504,5.987,5.147,5.159,5.462,5.961,5.324,5.426,5.842,6.623,5.687,5.764,6.201,6.691,5.647,5.511,5.871,6.472,5.487,5.552,6.043,6.509,5.712,5.741,6.204,6.683,5.872,5.981,6.561,7.149,6.318,4.992,6.433,7.856,6.444,6.137,7.175,8.152,7.233,7.426,7.398,8.111,7.294,7.228,7.496,7.921,7.280,7.065,7.389,8.222,7.754,7.615,8.104,8.802,8.135
Salud,7.628,7.779,7.785,7.921,7.782,8.029,8.173,8.411,8.246,8.448,8.528,8.792,8.886,8.980,8.976,8.873,8.647,8.827,8.657,8.486,8.545,8.491,8.572,8.481,8.709,8.811,8.768,8.649,8.871,8.924,8.979,8.954,9.215,9.556,9.416,9.211,9.302,9.312,9.561,9.951,10.110,10.652,10.961,10.973,10.560,10.551,10.673,10.730,10.676,10.786,11.041,11.256,11.226,11.536,11.688,11.850,11.832,12.155,12.333,12.283,12.124,10.661,11.964,12.962,13.480,13.997,14.557,14.767,14.602,14.934,15.115,15.086,15.455,15.860,16.180,16.207,16.512,17.045,17.223,17.300,17.249,17.276,17.844,17.666,17.899
Transporte,6.112,6.692,6.815,7.055,6.657,7.051,7.463,7.688,7.374,8.271,8.539,8.801,7.793,8.402,8.788,9.139,8.132,8.536,8.996,9.359,8.686,9.354,9.867,10.491,9.702,10.369,10.601,10.976,10.350,11.010,10.955,11.363,10.237,11.089,11.251,11.825,10.604,11.583,12.362,12.910,11.316,12.175,12.626,13.091,11.472,12.198,12.658,13.530,11.651,12.194,12.953,13.054,12.396,12.931,13.530,13.826,12.740,13.344,14.052,14.643,12.957,5.346,8.378,11.580,11.440,10.490,14.058,16.172,15.859,16.900,18.251,17.856,16.572,16.503,17.318,17.312,15.940,15.717,16.730,17.944,16.563,16.567,18.112,18.239,17.147
Comunicaciones,1.946,2.112,2.037,2.730,2.661,2.930,2.755,3.051,3.046,3.188,3.587,3.553,3.473,3.593,3.905,3.852,3.621,3.640,3.543,3.877,3.779,3.996,4.107,4.311,4.114,4.295,4.464,4.666,4.470,4.516,4.683,4.954,4.742,4.815,4.953,5.285,5.165,5.187,5.208,5.469,5.099,5.031,5.168,5.305,4.956,4.897,5.108,5.287,4.941,5.011,5.067,5.623,5.189,5.504,5.585,5.957,5.161,5.208,5.228,5.819,5.363,5.668,5.990,6.297,6.000,6.135,6.424,7.483,7.073,7.286,7.283,7.717,7.243,7.172,7.186,7.885,7.016,7.146,7.347,8.064,7.228,7.537,7.840,8.364,7.630
Recreación y cultura,4.240,3.970,4.100,4.676,4.731,4.454,4.543,4.906,5.098,4.654,4.902,5.379,5.552,5.112,5.387,5.788,5.588,5.118,5.174,5.793,5.758,5.344,5.566,6.259,6.250,6.047,6.291,6.858,6.664,6.236,6.651,7.214,7.168,6.821,7.093,7.822,7.523,7.046,7.176,8.129,7.709,7.385,7.673,8.445,7.953,7.523,7.733,8.557,7.935,7.549,7.735,8.579,7.728,7.806,7.981,9.241,8.824,9.112,9.350,10.645,9.286,7.137,9.225,10.710,11.171,11.698,12.947,15.527,15.094,15.448,16.636,19.436,17.108,17.096,17.754,19.849,17.411,18.335,19.351,20.713,20.037,19.774,20.640,22.315,21.011
Educación,4.175,4.689,4.548,4.523,4.148,4.643,4.535,4.553,4.288,4.850,4.751,4.774,4.468,5.028,4.824,4.849,4.615,5.178,4.937,4.936,4.625,5.173,4.748,4.877,4.741,5.137,4.867,5.090,4.913,5.358,5.211,5.357,5.048,5.648,5.496,5.654,5.246,5.799,5.740,5.828,5.418,5.941,6.049,5.910,5.532,6.091,6.069,6.128,5.460,6.239,6.064,6.185,5.609,6.225,6.013,6.170,5.678,6.319,6.138,6.358,5.691,6.107,5.674,6.238,5.522,6.053,5.881,6.326,5.670,6.417,6.268,6.700,5.918,6.742,6.511,6.768,5.812,6.564,6.255,6.708,5.862,6.527,6.473,6.905,5.893
Restaurantes y hoteles,9.659,9.795,10.259,11.188,10.143,10.624,11.221,11.811,10.700,11.215,11.865,12.458,11.493,11.645,12.289,12.984,11.572,12.243,12.730,12.985,12.187,12.599,13.486,13.920,12.554,13.210,13.924,14.498,13.492,13.798,14.355,14.800,14.062,14.488,15.308,15.840,14.915,15.233,15.810,16.665,15.044,15.430,16.170,17.270,15.952,16.083,16.990,17.496,16.094,16.351,17.301,17.765,16.805,16.658,17.635,17.713,16.284,16.725,18.025,18.873,17.161,8.518,11.855,17.819,16.298,15.285,17.540,21.577,18.615,19.496,21.375,21.718,17.896,18.261,18.862,21.013,18.181,18.531,19.531,22.196,18.635,19.055,19.507,21.987,18.515
Bienes y servicios diversos,7.739,7.574,7.815,8.283,8.292,7.877,8.251,8.885,8.881,8.522,8.692,9.508,9.270,8.721,9.187,10.266,9.511,9.059,9.479,10.303,9.866,9.667,10.118,11.044,10.613,10.496,10.704,11.891,11.621,11.539,11.834,12.939,12.726,12.416,12.352,13.758,13.525,13.201,13.375,14.479,14.222,13.808,14.125,14.720,14.285,13.607,13.873,14.970,14.615,14.545,14.549,15.688,14.999,14.967,14.795,15.914,15.693,15.550,15.925,16.745,16.474,14.860,15.886,17.489,16.922,16.795,17.548,18.826,17.465,19.217,19.360,20.811,18.730,20.064,19.793,21.650,18.039,20.292,20.437,21.722,19.252,21.318,21.448,21.904,20.126
Gasto de consumo final de los hogares en el territorio económico,80.858,83.882,85.498,93.873,85.910,89.233,91.498,99.625,91.667,94.378,97.547,105.797,96.446,97.952,101.104,109.665,98.536,100.471,102.428,110.956,102.144,104.711,108.017,117.356,106.795,111.266,113.649,123.820,114.458,117.168,119.706,129.374,119.439,123.027,124.908,135.615,124.370,127.426,130.175,142.671,129.084,132.008,135.861,146.413,132.834,133.809,137.090,148.926,134.524,137.413,141.225,152.374,139.036,142.290,145.460,156.264,143.005,147.184,151.813,164.641,150.437,123.857,139.776,166.118,153.102,152.960,166.257,189.014,171.418,179.297,184.978,199.181,176.990,180.742,183.766,197.969,177.779,182.925,187.549,203.969,185.458,189.994,195.018,208.646,190.141
