Fecha,Índice ,Variación anual (%),Variación mensual (%),Variación año corrido (%)
2026-04-30 00:00:00,162.78371,6.76086,1.00336,4.41715
2026-03-31 00:00:00,161.16663,6.47909,0.77476,3.37988
2026-02-28 00:00:00,159.92758,6.1962,1.35269,2.58509
2026-01-31 00:00:00,157.79313,6.17035,1.21596,1.21596
2025-12-31 00:00:00,155.89748,5.76827,0.58728,5.76827
2025-11-30 00:00:00,154.98728,5.61939,0.01383,5.15074
2025-10-31 00:00:00,154.96585,6.0232,0.08066,5.1362
2025-09-30 00:00:00,154.84096,6.08797,0.15678,5.05147
2025-08-31 00:00:00,154.59858,5.97476,0.23118,4.88702
2025-07-31 00:00:00,154.242,5.98394,0.48475,4.6451
2025-06-30 00:00:00,153.49792,5.62474,0.15696,4.14029
2025-05-31 00:00:00,153.25737,6.13347,0.51305,3.97709
2025-04-30 00:00:00,152.47509,6.17956,0.73679,3.44635
2025-03-31 00:00:00,151.35988,6.08585,0.50702,2.68974
2025-02-28 00:00:00,150.59632,6.25679,1.32801,2.17171
2025-01-31 00:00:00,148.62259,5.9979,0.83263,0.83263
2024-12-31 00:00:00,147.39533,5.98358,0.44569,5.98358
2024-11-30 00:00:00,146.74132,5.8205,0.39621,5.51332
2024-10-31 00:00:00,146.16221,6.00549,0.1418,5.09691
2024-09-30 00:00:00,145.95524,5.93264,0.04989,4.94809
2024-08-31 00:00:00,145.88245,6.4795,0.23987,4.89576
2024-07-31 00:00:00,145.53336,6.94366,0.14418,4.64474
2024-06-30 00:00:00,145.32383,7.0523,0.63935,4.49408
2024-05-31 00:00:00,144.40061,6.95302,0.5567,3.83025
2024-04-30 00:00:00,143.60117,6.62049,0.64789,3.25542
2024-03-31 00:00:00,142.67678,6.76696,0.66897,2.59074
2024-02-29 00:00:00,141.72866,7.19527,1.08113,1.909
2024-01-31 00:00:00,140.21278,7.72543,0.81902,0.81902
2023-12-31 00:00:00,139.07374,8.46387,0.29114,8.46387
2023-11-30 00:00:00,138.67002,9.58513,0.57171,8.14901
2023-10-31 00:00:00,137.88174,9.6658,0.07298,7.53422
2023-09-30 00:00:00,137.78118,10.49946,0.56638,7.4558
2023-08-31 00:00:00,137.00521,10.86214,0.67684,6.85062
2023-07-31 00:00:00,136.08414,11.2549,0.24591,6.13227
2023-06-30 00:00:00,135.75031,11.95461,0.54601,5.87192
2023-05-31 00:00:00,135.01312,11.74158,0.24406,5.29698
2023-04-30 00:00:00,134.68441,12.40588,0.78616,5.04062
2023-03-31 00:00:00,133.63383,12.7433,1.07282,4.22127
2023-02-28 00:00:00,132.2154,12.41068,1.58104,3.11503
2023-01-31 00:00:00,130.15755,12.84768,1.51011,1.51011
2022-12-31 00:00:00,128.22126,13.75257,1.32791,13.75257
2022-11-30 00:00:00,126.54091,13.11654,0.64574,12.26184
2022-10-31 00:00:00,125.72903,13.19997,0.83372,11.54156
2022-09-30 00:00:00,124.68947,12.26789,0.89647,10.61931
2022-08-31 00:00:00,123.5816,11.3304,1.03352,9.63646
2022-07-31 00:00:00,122.31743,10.53298,0.87638,8.51493
2022-06-30 00:00:00,121.25477,9.84707,0.35469,7.57219
2022-05-31 00:00:00,120.82621,9.69009,0.84,7.19199
2022-04-30 00:00:00,119.81972,10.13728,1.0887,6.29908
2022-03-31 00:00:00,118.52929,9.81474,0.77463,5.15426
2022-02-28 00:00:00,117.61819,9.68033,1.97595,4.34596
2022-01-31 00:00:00,115.33915,8.37242,2.3241,2.3241
2021-12-31 00:00:00,112.71944,6.36297,0.76135,6.36297
2021-11-30 00:00:00,111.86773,6.15757,0.71998,5.55929
2021-10-31 00:00:00,111.06807,5.24443,0.00346,4.80472
2021-09-30 00:00:00,111.06423,5.13139,0.05393,4.80109
2021-08-31 00:00:00,111.00437,5.05245,0.30986,4.74461
2021-07-31 00:00:00,110.66147,5.01349,0.25039,4.42106
2021-06-30 00:00:00,110.38508,9.18423,0.21127,4.16024
2021-05-31 00:00:00,110.15235,8.54412,1.25112,3.94065
2021-04-30 00:00:00,108.79125,6.92076,0.79266,2.6563
2021-03-31 00:00:00,107.93569,2.31793,0.65129,1.84898
2021-02-28 00:00:00,107.23726,2.21674,0.75991,1.18994
2021-01-31 00:00:00,106.4285,2.07331,0.42679,0.42679
2020-12-31 00:00:00,105.97621,2.17141,0.56678,2.17141
2020-11-30 00:00:00,105.37895,1.93909,-0.14639,1.59559
