year,total_nacional,hombres,mujeres,indeterminado
2008,715453,369752,345701,0
2009,699775,360578,339197,0
2010,654627,337025,317602,0
2011,665499,341406,324093,0
2012,676835,347070,329765,0
2013,658835,337947,320888,0
2014,669137,343163,325968,0
2015,660999,339665,321320,0
2016,647521,332824,314617,0
2017,656704,336576,320035,0
2018,649115,332740,316303,0
2019,642660,329998,312605,57
2020,629402,322868,306476,58
2021,616914,315970,300891,53
2022,573625,293092,280488,45
2023,515549,264580,250932,37
2024,453901,232784,221095,22
2025,433678,222290,211370,18
