Fecha,Perspectiva,Grupo,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años,Población de 5 a 17 años,10730.01
2023,Total nacional,Población de 5 a 17 años,Población de 5 a 17 años,10662.12
2024,Total nacional,Población de 5 a 17 años,Población de 5 a 17 años,10830.539
2025,Total nacional,Población de 5 a 17 años,Población de 5 a 17 años,10913.032
2022,Total nacional,Población de 5 a 17 años,Asiste,9703.589
2023,Total nacional,Población de 5 a 17 años,Asiste,9700.219
2024,Total nacional,Población de 5 a 17 años,Asiste,9877.139
2025,Total nacional,Población de 5 a 17 años,Asiste,10048.592
2022,Total nacional,Población de 5 a 17 años,No asiste,1026.421
2023,Total nacional,Población de 5 a 17 años,No asiste,961.901
2024,Total nacional,Población de 5 a 17 años,No asiste,953.4
2025,Total nacional,Población de 5 a 17 años,No asiste,864.441
2022,Total nacional,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,Población de 5 a 17 años que trabaja,Asiste,210.07
2023,Total nacional,Población de 5 a 17 años que trabaja,Asiste,161.848
2024,Total nacional,Población de 5 a 17 años que trabaja,Asiste,167.71
2025,Total nacional,Población de 5 a 17 años que trabaja,Asiste,149.214
2022,Total nacional,Población de 5 a 17 años que trabaja,No asiste,159.313
2023,Total nacional,Población de 5 a 17 años que trabaja,No asiste,148.531
2024,Total nacional,Población de 5 a 17 años que trabaja,No asiste,142.869
2025,Total nacional,Población de 5 a 17 años que trabaja,No asiste,152.307
2022,Total cabeceras,Población de 5 a 17 años,Población de 5 a 17 años,7825.201
2023,Total cabeceras,Población de 5 a 17 años,Población de 5 a 17 años,7849.076
2024,Total cabeceras,Población de 5 a 17 años,Población de 5 a 17 años,7955.257
2025,Total cabeceras,Población de 5 a 17 años,Población de 5 a 17 años,7938.331
2022,Total cabeceras,Población de 5 a 17 años,Asiste,7164.377
2023,Total cabeceras,Población de 5 a 17 años,Asiste,7262.847
2024,Total cabeceras,Población de 5 a 17 años,Asiste,7326.323
2025,Total cabeceras,Población de 5 a 17 años,Asiste,7398.103
2022,Total cabeceras,Población de 5 a 17 años,No asiste,660.824
2023,Total cabeceras,Población de 5 a 17 años,No asiste,586.229
2024,Total cabeceras,Población de 5 a 17 años,No asiste,628.933
2025,Total cabeceras,Población de 5 a 17 años,No asiste,540.229
2022,Total cabeceras,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,Población de 5 a 17 años que trabaja,Asiste,86.634
2023,Total cabeceras,Población de 5 a 17 años que trabaja,Asiste,81.004
2024,Total cabeceras,Población de 5 a 17 años que trabaja,Asiste,73.362
2025,Total cabeceras,Población de 5 a 17 años que trabaja,Asiste,75.213
2022,Total cabeceras,Población de 5 a 17 años que trabaja,No asiste,77.211
2023,Total cabeceras,Población de 5 a 17 años que trabaja,No asiste,51.524
2024,Total cabeceras,Población de 5 a 17 años que trabaja,No asiste,63.388
2025,Total cabeceras,Población de 5 a 17 años que trabaja,No asiste,70.65
2022,Total centros poblados y rural disperso,Población de 5 a 17 años,Población de 5 a 17 años,2904.809
2023,Total centros poblados y rural disperso,Población de 5 a 17 años,Población de 5 a 17 años,2813.043
2024,Total centros poblados y rural disperso,Población de 5 a 17 años,Población de 5 a 17 años,2875.283
2025,Total centros poblados y rural disperso,Población de 5 a 17 años,Población de 5 a 17 años,2974.701
2022,Total centros poblados y rural disperso,Población de 5 a 17 años,Asiste,2539.212
2023,Total centros poblados y rural disperso,Población de 5 a 17 años,Asiste,2437.372
2024,Total centros poblados y rural disperso,Población de 5 a 17 años,Asiste,2550.816
2025,Total centros poblados y rural disperso,Población de 5 a 17 años,Asiste,2650.489
2022,Total centros poblados y rural disperso,Población de 5 a 17 años,No asiste,365.597
2023,Total centros poblados y rural disperso,Población de 5 a 17 años,No asiste,375.671
2024,Total centros poblados y rural disperso,Población de 5 a 17 años,No asiste,324.467
2025,Total centros poblados y rural disperso,Población de 5 a 17 años,No asiste,324.212
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Asiste,123.436
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Asiste,80.844
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Asiste,94.348
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,Asiste,74.0
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,No asiste,82.102
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,No asiste,97.008
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,No asiste,79.481
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,No asiste,81.657
