Fecha,Perspectiva,Sexo,Concepto,Valor
2022,Total nacional,Hombres,Tasa de Trabajo Infantil (TTI),4.6805210643
2023,Total nacional,Hombres,Tasa de Trabajo Infantil (TTI),4.0740353001
2024,Total nacional,Hombres,Tasa de Trabajo Infantil (TTI),3.8211611919
2025,Total nacional,Hombres,Tasa de Trabajo Infantil (TTI),3.9890953216
2022,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),8.4255561313
2023,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),7.4850716379
2024,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),7.081356172
2025,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),7.578013373
2022,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),9.6927975379
2023,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),8.963097793
2024,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),7.9872781997
2025,Total nacional,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),8.4203839937
2022,Total nacional,Hombres,Hombres de 5 a 17 años,5484.546
2023,Total nacional,Hombres,Hombres de 5 a 17 años,5477.186
2024,Total nacional,Hombres,Hombres de 5 a 17 años,5545.967
2025,Total nacional,Hombres,Hombres de 5 a 17 años,5630.801
2022,Total nacional,Hombres,Hombres de 5 a 17 años que trabajan,256.705
2023,Total nacional,Hombres,Hombres de 5 a 17 años que trabajan,223.142
2024,Total nacional,Hombres,Hombres de 5 a 17 años que trabajan,211.92
2025,Total nacional,Hombres,Hombres de 5 a 17 años que trabajan,224.618
