Year,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific, Technical and Administrative Support Activities","Public Administration, Education, Health, Arts & Entertainment and Household Activities","Trade, Vehicle Repair, Transportation and Accommodation & Food Services",Information and Communications,"Electricity, Gas, Water Supply and Waste Management"
2006,3.70,4.04,7.28,3.75,8.16,21.14,4.64
2007,15.33,3.80,7.10,4.06,9.65,12.68,4.63
2008,6.89,2.76,3.29,3.24,2.58,2.91,0.13
2009,7.20,3.79,3.92,3.02,-0.34,-11.09,2.00
2010,4.45,3.63,2.63,4.00,5.23,19.29,5.15
2011,9.77,2.73,6.30,5.14,7.46,8.02,3.11
2012,9.46,3.16,5.52,5.51,5.67,0.48,2.74
2013,6.20,3.28,4.64,6.31,3.91,10.12,2.97
2014,14.53,3.02,8.17,4.20,3.56,7.29,5.15
2015,8.43,3.08,0.35,7.48,3.99,0.70,-1.54
2016,1.45,3.86,-2.42,4.88,2.58,1.15,-0.43
2017,9.38,2.73,3.17,5.84,3.04,0.06,2.98
2018,1.97,4.20,4.78,5.13,2.85,3.84,2.68
2019,4.14,3.59,3.38,6.05,3.80,2.71,2.39
2020,1.95,0.76,-11.05,-4.92,-26.85,-7.45,-7.26
2021,5.33,2.76,12.88,14.63,37.75,14.05,8.41
2022,11.76,2.04,11.74,3.96,16.65,15.47,5.69
2023,4.89,1.76,4.18,13.75,-6.18,0.86,3.71
2024,2.14,2.31,-5.69,-3.93,0.18,-2.37,0.58
2025,-2.85,1.76,1.22,6.39,4.93,4.75,2.75
2026,8.65,2.11,3.79,7.82,1.82,-2.59,4.76
