Fecha,Perspectiva,Concepto,Periodo,Valor
2010,Total nacional,% población en edad de trabajar,I,72.55141
2010,Total nacional,% población en edad de trabajar,II,72.812827
2011,Total nacional,% población en edad de trabajar,I,73.074047
2011,Total nacional,% población en edad de trabajar,II,73.330821
2012,Total nacional,% población en edad de trabajar,I,73.585397
2012,Total nacional,% población en edad de trabajar,II,73.833874
2013,Total nacional,% población en edad de trabajar,I,74.078014
2013,Total nacional,% población en edad de trabajar,II,74.315074
2014,Total nacional,% población en edad de trabajar,I,74.51824
2014,Total nacional,% población en edad de trabajar,II,74.743517
2015,Total nacional,% población en edad de trabajar,I,74.965308
2015,Total nacional,% población en edad de trabajar,II,75.175295
2016,Total nacional,% población en edad de trabajar,I,75.379457
2016,Total nacional,% población en edad de trabajar,II,75.569545
2017,Total nacional,% población en edad de trabajar,I,75.751825
2017,Total nacional,% población en edad de trabajar,II,75.920828
2018,Total nacional,% población en edad de trabajar,I,76.078526
2018,Total nacional,% población en edad de trabajar,II,76.220603
2019,Total nacional,% población en edad de trabajar,I,76.352124
2019,Total nacional,% población en edad de trabajar,II,76.478698
2020,Total nacional,% población en edad de trabajar,I,76.608406
2020,Total nacional,% población en edad de trabajar,II,76.742753
2021,Total nacional,% población en edad de trabajar,I,76.885201
2021,Total nacional,% población en edad de trabajar,II,77.024713
2022,Total nacional,% población en edad de trabajar,I,77.163345
2022,Total nacional,% población en edad de trabajar,II,77.292927
2023,Total nacional,% población en edad de trabajar,I,77.425286
2023,Total nacional,% población en edad de trabajar,II,77.576775
2024,Total nacional,% población en edad de trabajar,I,77.7464
2024,Total nacional,% población en edad de trabajar,II,77.905871
2025,Total nacional,% población en edad de trabajar,I,78.051982
2025,Total nacional,% población en edad de trabajar,II,78.195044
2026,Total nacional,% población en edad de trabajar,I,78.344646
2010,Total nacional,Tasa Global de Participación (TGP),I,67.430026
2010,Total nacional,Tasa Global de Participación (TGP),II,67.993768
2011,Total nacional,Tasa Global de Participación (TGP),I,67.568825
2011,Total nacional,Tasa Global de Participación (TGP),II,68.614416
2012,Total nacional,Tasa Global de Participación (TGP),I,68.907246
2012,Total nacional,Tasa Global de Participación (TGP),II,68.256921
2013,Total nacional,Tasa Global de Participación (TGP),I,67.568971
2013,Total nacional,Tasa Global de Participación (TGP),II,67.954442
2014,Total nacional,Tasa Global de Participación (TGP),I,67.155936
2014,Total nacional,Tasa Global de Participación (TGP),II,67.70756
2015,Total nacional,Tasa Global de Participación (TGP),I,67.194758
2015,Total nacional,Tasa Global de Participación (TGP),II,67.754701
2016,Total nacional,Tasa Global de Participación (TGP),I,66.862126
2016,Total nacional,Tasa Global de Participación (TGP),II,66.878726
2017,Total nacional,Tasa Global de Participación (TGP),I,66.508347
2017,Total nacional,Tasa Global de Participación (TGP),II,66.369272
2018,Total nacional,Tasa Global de Participación (TGP),I,65.613733
2018,Total nacional,Tasa Global de Participación (TGP),II,65.730169
2019,Total nacional,Tasa Global de Participación (TGP),I,64.880756
2019,Total nacional,Tasa Global de Participación (TGP),II,64.632723
2020,Total nacional,Tasa Global de Participación (TGP),I,59.604923
2020,Total nacional,Tasa Global de Participación (TGP),II,61.224646
2021,Total nacional,Tasa Global de Participación (TGP),I,61.42519
2021,Total nacional,Tasa Global de Participación (TGP),II,61.671005
2022,Total nacional,Tasa Global de Participación (TGP),I,63.54709
2022,Total nacional,Tasa Global de Participación (TGP),II,63.712329
2023,Total nacional,Tasa Global de Participación (TGP),I,64.046206
2023,Total nacional,Tasa Global de Participación (TGP),II,64.22862
2024,Total nacional,Tasa Global de Participación (TGP),I,63.790623
2024,Total nacional,Tasa Global de Participación (TGP),II,64.027077
2025,Total nacional,Tasa Global de Participación (TGP),I,64.182798
2025,Total nacional,Tasa Global de Participación (TGP),II,64.415745
2026,Total nacional,Tasa Global de Participación (TGP),I,64.593991
2010,Total nacional,Tasa de Ocupación (TO),I,58.865952
2010,Total nacional,Tasa de Ocupación (TO),II,60.323363
2011,Total nacional,Tasa de Ocupación (TO),I,59.47883
2011,Total nacional,Tasa de Ocupación (TO),II,61.649387
2012,Total nacional,Tasa de Ocupación (TO),I,61.136322
2012,Total nacional,Tasa de Ocupación (TO),II,61.449063
2013,Total nacional,Tasa de Ocupación (TO),I,60.305116
2013,Total nacional,Tasa de Ocupación (TO),II,61.795686
2014,Total nacional,Tasa de Ocupación (TO),I,60.416421
2014,Total nacional,Tasa de Ocupación (TO),II,61.770785
2015,Total nacional,Tasa de Ocupación (TO),I,60.706857
2015,Total nacional,Tasa de Ocupación (TO),II,61.838267
2016,Total nacional,Tasa de Ocupación (TO),I,60.093207
2016,Total nacional,Tasa de Ocupación (TO),II,60.887393
2017,Total nacional,Tasa de Ocupación (TO),I,59.78622
2017,Total nacional,Tasa de Ocupación (TO),II,60.240827
2018,Total nacional,Tasa de Ocupación (TO),I,58.825618
2018,Total nacional,Tasa de Ocupación (TO),II,59.43192
2019,Total nacional,Tasa de Ocupación (TO),I,57.563335
2019,Total nacional,Tasa de Ocupación (TO),II,57.8531
2020,Total nacional,Tasa de Ocupación (TO),I,49.56632
2020,Total nacional,Tasa de Ocupación (TO),II,51.29095
