País,Fecha,Miles_USD_CIF
Alemania,2007-01-01,89508.41766999997
Alemania,2007-02-01,85740.9041600001
Alemania,2007-03-01,99960.77845999988
Alemania,2007-04-01,83568.94433000003
Alemania,2007-05-01,91933.03268000002
Alemania,2007-06-01,84419.08470000034
Alemania,2007-07-01,105374.35246999994
Alemania,2007-08-01,135256.63977000015
Alemania,2007-09-01,98005.74088000008
Alemania,2007-10-01,115285.57309000002
Alemania,2007-11-01,115285.09748999997
Alemania,2007-12-01,100572.28876000021
Alemania,2008-01-01,123535.99832000019
Alemania,2008-02-01,98557.86669000008
Alemania,2008-03-01,107991.82506999982
Alemania,2008-04-01,138064.23713999998
Alemania,2008-05-01,127567.23916000017
Alemania,2008-06-01,114960.5599600001
Alemania,2008-07-01,138224.75947
Alemania,2008-08-01,118812.07008000012
Alemania,2008-09-01,175659.8234600005
Alemania,2008-10-01,125306.66327000003
Alemania,2008-11-01,146243.99957000004
Alemania,2008-12-01,142476.03422000012
Alemania,2009-01-01,106713.45065000007
Alemania,2009-02-01,129680.44980000005
Alemania,2009-03-01,103900.81750999995
Alemania,2009-04-01,116895.89350999997
Alemania,2009-05-01,106012.59122999992
Alemania,2009-06-01,87839.4379399999
Alemania,2009-07-01,114677.92189999991
Alemania,2009-08-01,112326.59269000008
Alemania,2009-09-01,109196.10626000002
Alemania,2009-10-01,102305.96920000012
Alemania,2009-11-01,123304.74521999994
Alemania,2009-12-01,125539.57233000005
Alemania,2010-01-01,94223.59967999988
Alemania,2010-02-01,145607.52601000015
Alemania,2010-03-01,177829.22338000016
Alemania,2010-04-01,102598.35501999987
Alemania,2010-05-01,97654.22543999976
Alemania,2010-06-01,117360.33624999998
Alemania,2010-07-01,119347.76620999955
Alemania,2010-08-01,126082.97770999992
Alemania,2010-09-01,147115.1012699999
Alemania,2010-10-01,188468.4131400003
Alemania,2010-11-01,130790.13763999974
Alemania,2010-12-01,164349.81598999977
Alemania,2011-01-01,144351.34265999997
Alemania,2011-02-01,129266.3315699999
Alemania,2011-03-01,139652.44073000032
Alemania,2011-04-01,144942.64641000028
Alemania,2011-05-01,238185.17077
Alemania,2011-06-01,196015.97803000026
Alemania,2011-07-01,187176.36931000007
Alemania,2011-08-01,213716.28641999981
Alemania,2011-09-01,227010.7377899998
Alemania,2011-10-01,181614.9795899999
Alemania,2011-11-01,177928.19525000025
Alemania,2011-12-01,167412.0317300002
Alemania,2012-01-01,137304.54406999997
Alemania,2012-02-01,169381.51570999998
Alemania,2012-03-01,169363.35376000003
Alemania,2012-04-01,153753.48498999997
Alemania,2012-05-01,257428.24350000007
Alemania,2012-06-01,155153.86547000005
Alemania,2012-07-01,176184.3175700002
Alemania,2012-08-01,256917.56076000002
Alemania,2012-09-01,160324.79571999988
Alemania,2012-10-01,188909.93279999995
Alemania,2012-11-01,258490.55955999997
Alemania,2012-12-01,183320.21110000001
Alemania,2013-01-01,167271.36823000002
Alemania,2013-02-01,149543.96510000006
Alemania,2013-03-01,197473.51161000007
Alemania,2013-04-01,214313.33292999998
Alemania,2013-05-01,172448.7680400001
Alemania,2013-06-01,173495.35936000024
Alemania,2013-07-01,218976.14365000004
Alemania,2013-08-01,177546.0265199999
Alemania,2013-09-01,186563.08988999994
Alemania,2013-10-01,193180.02687999996
Alemania,2013-11-01,171350.6355000001
Alemania,2013-12-01,184746.79950999992
Alemania,2014-01-01,153991.74243999997
Alemania,2014-02-01,200782.0699399999
Alemania,2014-03-01,172289.90702999997
Alemania,2014-04-01,216127.21745000003
Alemania,2014-05-01,213573.24711000003
Alemania,2014-06-01,156195.89320000002
Alemania,2014-07-01,333836.76201999985
Alemania,2014-08-01,180699.7477799999
Alemania,2014-09-01,246332.42554999999
Alemania,2014-10-01,175942.42893999984
Alemania,2014-11-01,220622.22555000003
Alemania,2014-12-01,260583.87201000017
Alemania,2015-01-01,185971.77468
Alemania,2015-02-01,165542.61018
Alemania,2015-03-01,174016.16111000004
Alemania,2015-04-01,182721.63266999996
Alemania,2015-05-01,188164.28898000007
Alemania,2015-06-01,155220.50256
Alemania,2015-07-01,252464.25160000022
Alemania,2015-08-01,156145.34397999992
