Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Total nacional,Total nacional,Actividades personales,Total,17:09,17:04,17:13,
2024-09_2025-08,Total nacional,Total nacional,Actividades personales,Hombre,17:16,17:11,17:21,
2024-09_2025-08,Total nacional,Total nacional,Actividades personales,Mujer,17:01,16:56,17:07,
2024-09_2025-08,Total nacional,Total nacional,Educación y formación,Total,6:08,6:02,6:13,
2024-09_2025-08,Total nacional,Total nacional,Educación y formación,Hombre,6:06,5:59,6:13,
2024-09_2025-08,Total nacional,Total nacional,Educación y formación,Mujer,6:09,6:01,6:17,
2024-09_2025-08,Total nacional,Total nacional,Vida social,Total,2:06,2:04,2:08,0.8999999999999999
2024-09_2025-08,Total nacional,Total nacional,Vida social,Hombre,2:10,2:08,2:12,1.0
2024-09_2025-08,Total nacional,Total nacional,Vida social,Mujer,2:03,2:00,2:05,1.0
2024-09_2025-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Total,1:38,1:36,1:40,0.8999999999999999
2024-09_2025-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Hombre,1:47,1:45,1:50,1.0
2024-09_2025-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Mujer,1:27,1:25,1:29,1.2
2024-09_2025-08,Total nacional,Total nacional,Uso de medios de comunicación,Total,3:56,3:54,3:58,0.5
2024-09_2025-08,Total nacional,Total nacional,Uso de medios de comunicación,Hombre,4:02,4:00,4:05,0.6
2024-09_2025-08,Total nacional,Total nacional,Uso de medios de comunicación,Mujer,3:50,3:48,3:53,0.6
2024-09_2025-08,Total nacional,Total nacional,Actividades de cuidado personal,Total,10:15,10:13,10:17,0.2
2024-09_2025-08,Total nacional,Total nacional,Actividades de cuidado personal,Hombre,10:09,10:07,10:12,0.2
2024-09_2025-08,Total nacional,Total nacional,Actividades de cuidado personal,Mujer,10:21,10:19,10:23,0.2
2024-09_2025-08,Total nacional,Total nacional,Vida religiosa,Total,0:50,0:49,0:52,1.6
2024-09_2025-08,Total nacional,Total nacional,Vida religiosa,Hombre,0:46,0:44,0:49,2.4
2024-09_2025-08,Total nacional,Total nacional,Vida religiosa,Mujer,0:52,0:51,0:54,1.5
2024-09_2025-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Total,1:20,1:16,1:23,2.1
2024-09_2025-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Hombre,1:17,1:13,1:21,2.7
2024-09_2025-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Mujer,1:22,1:18,1:27,2.9000000000000004
2024-09_2025-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Total,17:18,17:12,17:23,
2024-09_2025-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Hombre,17:27,17:21,17:33,
2024-09_2025-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Mujer,17:10,17:03,17:16,
2024-09_2025-08,Dominio geográfico,Cabeceras municipales,Educación y formación,Total,6:05,5:58,6:13,
