"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","Colombia","COL",0.07319232142866179,0.031240279101825155,0.13378644824008668,0.06982922698586898,0.03782382385385717,0.11411734562331377,0.11937879029442336,0.0671001463225671,0.18559732136359344,0.4576627407869403,0.36981267041055316,0.5436331449678254,0.27993691850410557,0.20220838190326987,0.360505654128773,0.05935933289306536,0.02873203755732897,0.10285197476470376,0.007826833223321004,0.002425250971145497,0.017548573411155163,0.0026430608694826153,4.5805092938980036e-4,0.008062328994678477
1981,"Women","Colombia","COL",0.07049424430610803,0.031165970552064774,0.1257986089804233,0.0730278391778931,0.04175110111861426,0.11550435227028114,0.11515713523310259,0.0668548628896053,0.17547358898740106,0.45639361563232017,0.37441973694013825,0.5370296698020527,0.2849271636505761,0.21174476590375377,0.3620557644996795,0.06196400565812857,0.03173788512404736,0.10373611213318719,0.008321485911940736,0.002829448566470422,0.01770477095230347,0.002742347607823804,5.479360036291402e-4,0.007924379000327952
1982,"Women","Colombia","COL",0.06785424996593456,0.03160369487279829,0.1177901768210279,0.07639113723761619,0.045671555285807214,0.11730542290804893,0.11099708294619165,0.06708117646594555,0.1667101038487581,0.45488722190966385,0.37786865950195275,0.5305286635000606,0.28987030594059376,0.22024228672759683,0.36337684990296176,0.0646849770878823,0.03512311017308286,0.10489573137152615,0.008853358034606254,0.0032955541883387812,0.01802469195457112,0.00285280211512764,6.415753827018585e-4,0.007761552954601733
1983,"Women","Colombia","COL",0.06527791212252074,0.031770600228575585,0.11026009838340563,0.0799079470807968,0.049811509774391693,0.11891321805354278,0.1069120856944442,0.06662408196399815,0.15714453189586547,0.45313158308644047,0.3814482050019104,0.5231999747978432,0.2947704700157978,0.22976437929270777,0.3634033177632904,0.06750758292960896,0.03881801359581443,0.10624306533696418,0.00942508666526744,0.0037883101715554318,0.018430409970640892,0.002975277485920413,7.638849798623838e-4,0.0076259497142977875
1984,"Women","Colombia","COL",0.06276540460986614,0.03191282942726423,0.1028057295565795,0.08358643453155895,0.054535968104534434,0.12074167284247883,0.10290826933289587,0.06577291399463005,0.14844457959506674,0.45110880718528096,0.3839581454397336,0.5167582329367348,0.2996310823403981,0.2392517903820085,0.36411982524164527,0.07043837575886878,0.042498665442578173,0.10676142761873879,0.010039627711232573,0.004313464122272986,0.01902553158247592,0.0031084310614575956,8.820825949767769e-4,0.007509912823336735
1985,"Women","Colombia","COL",0.060320145808767295,0.03208633250158027,0.09672531573241722,0.08742399434020294,0.059399698857819205,0.12274234665005763,0.09899819402627286,0.0650500896728972,0.13977653606022888,0.4488454743815058,0.38588168135110335,0.5101688784097955,0.3044121894432511,0.24762274728589262,0.3653664889641044,0.0734724581460655,0.046322693831052836,0.10806072931166183,0.010696887088041835,0.0048983986802048594,0.01943946469883837,0.0032546491060956133,0.0010304587067768865,0.007495772865313586
1986,"Women","Colombia","COL",0.057936741802086536,0.03213406760170448,0.09075193825980157,0.09142364685200918,0.06447632642100436,0.1251328850471596,0.09517302953050058,0.0642282351046641,0.1315301926834676,0.446348941007171,0.3872983321957309,0.5034927696916254,0.3091176388082327,0.25568536152788274,0.3653518481069622,0.07660789956678275,0.05057393382979778,0.10960156755322678,0.011400913353963515,0.005552192476448617,0.019897889704295377,0.0034148339312629265,0.0011982389249214993,0.007510062225365777
1987,"Women","Colombia","COL",0.055627186530114114,0.032027764991823186,0.08522443894672517,0.09557445844190493,0.0695891971362263,0.12767287664228097,0.09142634118199652,0.06341777097137223,0.12384121935180378,0.44363013648495775,0.38885613103008176,0.49643099519094347,0.31374187536102666,0.26422419132611935,0.36547638986206776,0.07983302028301664,0.05471552363082389,0.11116942942981672,0.012152527257621348,0.0062769970320082965,0.020314431552979514,0.003588910901266944,0.0013529909769814429,0.007521442123369564
1988,"Women","Colombia","COL",0.05339201841902697,0.03181133422507435,0.08032527039318416,0.09989042773025422,0.07498368637048886,0.13038036134541006,0.08778631071845477,0.062478736413183196,0.11691764821933008,0.4406738511577699,0.39012190677530817,0.4896932075798517,0.3182573899744941,0.2720954239944685,0.3662211412960447,0.08315483366402851,0.05895623917059001,0.11286303643293126,0.012956831310236552,0.007092144779519165,0.020911952815437892,0.003778762755989169,0.0015312408663409214,0.00754449059149177
1989,"Women","Colombia","COL",0.05122703315280755,0.031327275664658205,0.07566746048814112,0.10436687389139448,0.08038350960599448,0.13265590126852522,0.08424613131087036,0.06176163291270939,0.11058235367599245,0.4375027723834559,0.3908492681158502,0.48252834663593136,0.3226571872614718,0.27997312135868246,0.3669409215969521,0.08656805785978613,0.06321085994479722,0.11427806770627813,0.013812618176126485,0.00798576232863979,0.021473446431039503,0.003986197855481858,0.0017350063231133081,0.007596245946651634
