Fecha,Departamento,Total_hogares,Suficiencia_ingreso,Hogares,Porcentaje
2018,Total nacional,15403,No alcanzan para cubrir los gastos mínimos,5763,37.41310253
2018,Total nacional,15403,Alcanzan para cubrir los gastos mínimos,8026,52.1061401
2018,Total nacional,15403,Cubren más que los gastos mínimos,1614,10.48075737
2018,Cabecera,11742,No alcanzan para cubrir los gastos mínimos,3819,32.52241612
2018,Cabecera,11742,Alcanzan para cubrir los gastos mínimos,6384,54.365117
2018,Cabecera,11742,Cubren más que los gastos mínimos,1540,13.11246688
2018,Centros poblados y rural disperso,3660,No alcanzan para cubrir los gastos mínimos,1944,53.10327055
2018,Centros poblados y rural disperso,3660,Alcanzan para cubrir los gastos mínimos,1642,44.85895142
2018,Centros poblados y rural disperso,3660,Cubren más que los gastos mínimos,75,2.03777803
2018,Amazonas,22,No alcanzan para cubrir los gastos mínimos,8,34.82451816
2018,Amazonas,22,Alcanzan para cubrir los gastos mínimos,13,59.10099405
2018,Amazonas,22,Cubren más que los gastos mínimos,1,6.07448778
2018,Antioquia,2107,No alcanzan para cubrir los gastos mínimos,628,29.78646377
2018,Antioquia,2107,Alcanzan para cubrir los gastos mínimos,1178,55.89012181
2018,Antioquia,2107,Cubren más que los gastos mínimos,302,14.32341443
2018,Arauca,92,No alcanzan para cubrir los gastos mínimos,42,45.87078237
2018,Arauca,92,Alcanzan para cubrir los gastos mínimos,47,50.46397067
2018,Arauca,92,Cubren más que los gastos mínimos,3,3.66524696
2018,Atlántico,647,No alcanzan para cubrir los gastos mínimos,274,42.41955537
2018,Atlántico,647,Alcanzan para cubrir los gastos mínimos,324,50.02242667
2018,Atlántico,647,Cubren más que los gastos mínimos,49,7.55801796
2018,Bogotá D.C.,2601,No alcanzan para cubrir los gastos mínimos,578,22.23090972
2018,Bogotá D.C.,2601,Alcanzan para cubrir los gastos mínimos,1414,54.37147981
2018,Bogotá D.C.,2601,Cubren más que los gastos mínimos,609,23.39761046
2018,Bolívar,582,No alcanzan para cubrir los gastos mínimos,331,56.88911628
2018,Bolívar,582,Alcanzan para cubrir los gastos mínimos,229,39.36364284
2018,Bolívar,582,Cubren más que los gastos mínimos,22,3.74724088
2018,Boyacá,424,No alcanzan para cubrir los gastos mínimos,150,35.28979563
2018,Boyacá,424,Alcanzan para cubrir los gastos mínimos,243,57.36542905
2018,Boyacá,424,Cubren más que los gastos mínimos,31,7.34477532
2018,Caldas,340,No alcanzan para cubrir los gastos mínimos,117,34.51067502
2018,Caldas,340,Alcanzan para cubrir los gastos mínimos,192,56.60675005
2018,Caldas,340,Cubren más que los gastos mínimos,30,8.88257493
2018,Caquetá,133,No alcanzan para cubrir los gastos mínimos,54,40.76752604
2018,Caquetá,133,Alcanzan para cubrir los gastos mínimos,74,55.73813729
2018,Caquetá,133,Cubren más que los gastos mínimos,5,3.49433667
2018,Casanare,140,No alcanzan para cubrir los gastos mínimos,54,38.97679602
2018,Casanare,140,Alcanzan para cubrir los gastos mínimos,78,55.66418266
2018,Casanare,140,Cubren más que los gastos mínimos,7,5.35902132
2018,Cauca,456,No alcanzan para cubrir los gastos mínimos,213,46.76733926
2018,Cauca,456,Alcanzan para cubrir los gastos mínimos,227,49.71116779
2018,Cauca,456,Cubren más que los gastos mínimos,16,3.52149295
2018,Cesar,341,No alcanzan para cubrir los gastos mínimos,163,47.87505212
2018,Cesar,341,Alcanzan para cubrir los gastos mínimos,166,48.86603214
2018,Cesar,341,Cubren más que los gastos mínimos,11,3.25891574
2018,Córdoba,495,No alcanzan para cubrir los gastos mínimos,266,53.84781045
2018,Córdoba,495,Alcanzan para cubrir los gastos mínimos,205,41.45500239
2018,Córdoba,495,Cubren más que los gastos mínimos,23,4.69718716
2018,Cundinamarca,974,No alcanzan para cubrir los gastos mínimos,325,33.3791495
2018,Cundinamarca,974,Alcanzan para cubrir los gastos mínimos,571,58.5735358
2018,Cundinamarca,974,Cubren más que los gastos mínimos,78,8.04731471
2018,Chocó,165,No alcanzan para cubrir los gastos mínimos,104,62.94692058
2018,Chocó,165,Alcanzan para cubrir los gastos mínimos,59,36.03864365
2018,Chocó,165,Cubren más que los gastos mínimos,2,1.01443577
2018,Guainía,13,No alcanzan para cubrir los gastos mínimos,8,60.45110282
2018,Guainía,13,Alcanzan para cubrir los gastos mínimos,5,35.39391452
2018,Guainía,13,Cubren más que los gastos mínimos,1,4.15498266
2018,Guaviare,28,No alcanzan para cubrir los gastos mínimos,13,45.83904989
2018,Guaviare,28,Alcanzan para cubrir los gastos mínimos,14,49.92806097
2018,Guaviare,28,Cubren más que los gastos mínimos,1,4.23288914
2018,Huila,349,No alcanzan para cubrir los gastos mínimos,139,39.78724579
2018,Huila,349,Alcanzan para cubrir los gastos mínimos,195,55.87545822
2018,Huila,349,Cubren más que los gastos mínimos,15,4.33729599
2018,La Guajira,258,No alcanzan para cubrir los gastos mínimos,164,63.54175525
2018,La Guajira,258,Alcanzan para cubrir los gastos mínimos,92,35.42293468
2018,La Guajira,258,Cubren más que los gastos mínimos,3,1.03531006
2018,Magdalena,366,No alcanzan para cubrir los gastos mínimos,198,54.18728616
2018,Magdalena,366,Alcanzan para cubrir los gastos mínimos,154,41.967325
2018,Magdalena,366,Cubren más que los gastos mínimos,14,3.84538884
2018,Meta,344,No alcanzan para cubrir los gastos mínimos,113,32.90909275
2018,Meta,344,Alcanzan para cubrir los gastos mínimos,198,57.65037707
2018,Meta,344,Cubren más que los gastos mínimos,32,9.44053018
2018,Nariño,510,No alcanzan para cubrir los gastos mínimos,302,59.15610611
2018,Nariño,510,Alcanzan para cubrir los gastos mínimos,188,36.87382524
2018,Nariño,510,Cubren más que los gastos mínimos,20,3.97006865
2018,Norte de Santander,460,No alcanzan para cubrir los gastos mínimos,211,45.92337853
2018,Norte de Santander,460,Alcanzan para cubrir los gastos mínimos,227,49.38699904
2018,Norte de Santander,460,Cubren más que los gastos mínimos,22,4.68962243
2018,Putumayo,117,No alcanzan para cubrir los gastos mínimos,69,58.8515951
2018,Putumayo,117,Alcanzan para cubrir los gastos mínimos,46,39.12182705
2018,Putumayo,117,Cubren más que los gastos mínimos,2,2.02657785
2018,Quindío,190,No alcanzan para cubrir los gastos mínimos,62,32.39652283
2018,Quindío,190,Alcanzan para cubrir los gastos mínimos,111,58.62308926
2018,Quindío,190,Cubren más que los gastos mínimos,17,8.98038791
2018,Risaralda,325,No alcanzan para cubrir los gastos mínimos,106,32.74974942
2018,Risaralda,325,Alcanzan para cubrir los gastos mínimos,188,57.93541696
2018,Risaralda,325,Cubren más que los gastos mínimos,30,9.31483362
2018,San Andrés,16,No alcanzan para cubrir los gastos mínimos,4,26.35350923
2018,San Andrés,16,Alcanzan para cubrir los gastos mínimos,10,59.29814195
2018,San Andrés,16,Cubren más que los gastos mínimos,2,14.34834882
2018,Santander,714,No alcanzan para cubrir los gastos mínimos,227,31.82866563
2018,Santander,714,Alcanzan para cubrir los gastos mínimos,430,60.24570401
2018,Santander,714,Cubren más que los gastos mínimos,57,7.92563037
2018,Sucre,247,No alcanzan para cubrir los gastos mínimos,158,63.74193058
2018,Sucre,247,Alcanzan para cubrir los gastos mínimos,82,33.21019479
2018,Sucre,247,Cubren más que los gastos mínimos,8,3.04787463
2018,Tolima,444,No alcanzan para cubrir los gastos mínimos,183,41.20314717
2018,Tolima,444,Alcanzan para cubrir los gastos mínimos,236,53.2025674
2018,Tolima,444,Cubren más que los gastos mínimos,25,5.59428543
2018,Valle,1460,No alcanzan para cubrir los gastos mínimos,472,32.35792796
2018,Valle,1460,Alcanzan para cubrir los gastos mínimos,813,55.68933878
2018,Valle,1460,Cubren más que los gastos mínimos,174,11.95273326
2018,Vaupés,9,No alcanzan para cubrir los gastos mínimos,6,68.54098586
2018,Vaupés,9,Alcanzan para cubrir los gastos mínimos,3,28.42326012
2018,Vaupés,9,Cubren más que los gastos mínimos,0,3.03575403
2018,Vichada,31,No alcanzan para cubrir los gastos mínimos,17,55.44453963
2018,Vichada,31,Alcanzan para cubrir los gastos mínimos,13,42.31334702
2018,Vichada,31,Cubren más que los gastos mínimos,1,2.24211335
2019,Total nacional,15999,No alcanzan para cubrir los gastos mínimos,6104,38.15068243
2019,Total nacional,15999,Alcanzan para cubrir los gastos mínimos,8562,53.51305434
2019,Total nacional,15999,Cubren más que los gastos mínimos,1334,8.33626323
2019,Cabecera,12221,No alcanzan para cubrir los gastos mínimos,4075,33.33939437
2019,Cabecera,12221,Alcanzan para cubrir los gastos mínimos,6891,56.38516141
2019,Cabecera,12221,Cubren más que los gastos mínimos,1256,10.27544422
2019,Centros poblados y rural disperso,3778,No alcanzan para cubrir los gastos mínimos,2029,53.71529498
2019,Centros poblados y rural disperso,3778,Alcanzan para cubrir los gastos mínimos,1671,44.22173086
2019,Centros poblados y rural disperso,3778,Cubren más que los gastos mínimos,78,2.06297416
2019,Amazonas,22,No alcanzan para cubrir los gastos mínimos,7,33.39773831
2019,Amazonas,22,Alcanzan para cubrir los gastos mínimos,14,62.16954501
2019,Amazonas,22,Cubren más que los gastos mínimos,1,4.43271668
2019,Antioquia,2133,No alcanzan para cubrir los gastos mínimos,776,36.37522438
2019,Antioquia,2133,Alcanzan para cubrir los gastos mínimos,1171,54.92463639
2019,Antioquia,2133,Cubren más que los gastos mínimos,186,8.70013923
2019,Arauca,103,No alcanzan para cubrir los gastos mínimos,43,41.70389924
2019,Arauca,103,Alcanzan para cubrir los gastos mínimos,56,54.623115
2019,Arauca,103,Cubren más que los gastos mínimos,4,3.67298576
2019,Atlántico,679,No alcanzan para cubrir los gastos mínimos,300,44.11671213
2019,Atlántico,679,Alcanzan para cubrir los gastos mínimos,342,50.3896186
