departamento,tasa_ano_corrido
RISARALDA,610.745437333722
BOGOTÁ. D.C.,560.6704451857303
ANTIOQUIA,550.3883239540862
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",497.6275893993751
TOLIMA,488.57701872142627
VALLE DEL CAUCA,470.4691550560772
SANTANDER,458.59362606981256
CALDAS,448.5945939366309
CUNDINAMARCA,445.0854025451012
QUINDÍO,438.3039374767661
HUILA,419.3992944060394
META,405.86401895486455
BOYACÁ,396.2521759907157
CASANARE,385.6718023127791
ATLÁNTICO,348.6258914328862
CAUCA,316.26785843806545
NORTE DE SANTANDER,288.62880676113457
LA GUAJIRA,287.70355832807644
NARIÑO,262.1655312555062
CESAR,262.1326943388876
AMAZONAS,260.1707228478024
SUCRE,256.48725940818576
BOLÍVAR,248.51692411002597
ARAUCA,240.52905054322153
GUAVIARE,227.96687918800592
CÓRDOBA,227.6955250497306
MAGDALENA,224.20415337543128
CHOCÓ,195.9675514616377
VICHADA,157.8218316415741
CAQUETÁ,142.33968274006924
PUTUMAYO,126.04377649441687
GUAINÍA,121.39206253758267
VAUPÉS,82.94380205953678
TOTAL GENERAL,421.9942426498775
