regimen,eps,tasa_10000
CONTRIBUTIVO,COMFENALCO  VALLE,687.4491101547052
CONTRIBUTIVO,COOSALUD,642.940566860226
CONTRIBUTIVO,SERVICIO OCCIDENTAL DE SALUD (SOS),631.1743142382182
CONTRIBUTIVO,NUEVA EPS,617.3486192362287
CONTRIBUTIVO,FAMISANAR,611.1886970200392
CONTRIBUTIVO,SALUD TOTAL,534.6493553372213
CONTRIBUTIVO,COMPENSAR,520.6220298041014
CONTRIBUTIVO,MUTUAL SER,497.0407053992028
CONTRIBUTIVO,EPS SURA,485.1603026613625
CONTRIBUTIVO,SANITAS,470.0415325764968
CONTRIBUTIVO,FUNDACION SALUD MIA,308.885754583921
CONTRIBUTIVO,ALIANSALUD,283.8924313834211
SUBSIDIADO,CAPITAL SALUD,578.6887821155211
SUBSIDIADO,SAVIA SALUD EPS,430.0356228107248
SUBSIDIADO,CAPRESOCA,399.5020237659748
SUBSIDIADO,CAJACOPI EPS,283.8756097333294
SUBSIDIADO,EMSSANAR,276.5415480625414
SUBSIDIADO,NUEVA EPS,260.55205837228124
SUBSIDIADO,COOSALUD,244.09187072095983
SUBSIDIADO,MUTUAL SER,212.77469608974465
SUBSIDIADO,ASMET SALUD,211.4360294448568
SUBSIDIADO,"CCF ORIENTE ""COMFAORIENTE""",180.46927551141536
SUBSIDIADO,CCF DE SUCRE Y/O FAMILIAR DE COLOMBIA,153.46207504222042
SUBSIDIADO,"CCF CHOCÓ ""CONMFACHOCÓ""",114.77693789832517
