anio,mes,clasificacion,conteo
2014,1,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",17760.0
2014,2,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",17405.0
2014,3,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",19979.0
2014,4,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",19136.0
2014,5,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",20118.0
2014,6,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",17446.0
2014,7,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",21476.0
2014,8,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",20615.0
2014,9,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",22193.0
2014,10,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",20983.0
2014,11,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",17670.0
2014,12,"PETICIONES, QUEJAS RECLAMOS O DENUNCIAS*",15443.0
2014,1,SOLICITUD DE INFORMACIÓN,37159.0
2014,2,SOLICITUD DE INFORMACIÓN,40409.0
2014,3,SOLICITUD DE INFORMACIÓN,39782.0
2014,4,SOLICITUD DE INFORMACIÓN,38851.0
2014,5,SOLICITUD DE INFORMACIÓN,40917.0
2014,6,SOLICITUD DE INFORMACIÓN,37594.0
2014,7,SOLICITUD DE INFORMACIÓN,48354.0
2014,8,SOLICITUD DE INFORMACIÓN,36890.0
2014,9,SOLICITUD DE INFORMACIÓN,42640.0
2014,10,SOLICITUD DE INFORMACIÓN,38804.0
2014,11,SOLICITUD DE INFORMACIÓN,32398.0
2014,12,SOLICITUD DE INFORMACIÓN,28975.0
2014,1,TOTAL,54919.0
2014,2,TOTAL,57814.0
2014,3,TOTAL,59761.0
2014,4,TOTAL,57987.0
2014,5,TOTAL,61035.0
2014,6,TOTAL,55040.0
2014,7,TOTAL,69830.0
2014,8,TOTAL,57505.0
2014,9,TOTAL,64833.0
2014,10,TOTAL,59787.0
2014,11,TOTAL,50068.0
2014,12,TOTAL,44418.0
2015,1,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",19046.0
2015,2,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",20971.0
2015,3,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",25202.0
2015,4,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",23970.0
2015,5,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",26249.0
2015,6,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",26152.0
2015,7,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",30613.0
2015,8,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",26704.0
2015,9,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",29618.0
2015,10,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",33689.0
2015,11,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",31805.0
2015,12,"PETICIONES, QUEJAS, RECLAMOS O DENUNCIAS*",31303.0
2015,1,SOLICITUD DE INFORMACIÓN,34135.0
2015,2,SOLICITUD DE INFORMACIÓN,37926.0
2015,3,SOLICITUD DE INFORMACIÓN,39486.0
2015,4,SOLICITUD DE INFORMACIÓN,36515.0
2015,5,SOLICITUD DE INFORMACIÓN,39285.0
2015,6,SOLICITUD DE INFORMACIÓN,42449.0
2015,7,SOLICITUD DE INFORMACIÓN,52473.0
2015,8,SOLICITUD DE INFORMACIÓN,41847.0
2015,9,SOLICITUD DE INFORMACIÓN,35788.0
