Reference area,Sex,Age,Educational attainment level,Education status,Labour force status,TIME_PERIOD,OBS_VALUE
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2007,2.0607357
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2008,2.9884307
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2009,4.0379963
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2010,4.7837977
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2011,4.2922277
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2012,4.3722153
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2013,3.2648432
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2014,3.6038594
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2015,3.7417777
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2016,3.2959259
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2017,3.2058463
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2018,3.1081572
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2019,2.5344555
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2020,3.6303596
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2021,2.4298871
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2022,2.1150103
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2023,2.6374285
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2024,1.69162559509277
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Unemployment,2025,2.27312650199394
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2007,13.027547
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2008,12.223552
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2009,14.195045
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2010,16.804861
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2011,16.11335
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2012,18.921953
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2013,18.820105
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2014,19.47901
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2015,17.556581
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2016,16.946293
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2017,15.020967
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2018,13.785437
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2019,13.6032
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2020,8.5571041
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2021,9.287899
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2022,9.4431858
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2023,12.371311
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2024,11.3283729553223
Colombia,Male,From 18 to 24 years,Tertiary education,In education,Employment,2025,12.0862158535811
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2007,10.841901
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2008,10.204832
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2009,10.613435
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2010,12.865101
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2011,13.483847
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2012,15.886553
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2013,16.290966
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2014,15.043474
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2015,16.196939
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2016,15.940689
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2017,13.898772
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2018,11.896122
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2019,10.520968
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2020,8.02246
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2021,8.1256599
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2022,8.196022
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2023,9.7594309
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2024,8.31061553955078
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Employment,2025,9.67249222459574
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2007,2.7535141
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2008,2.1599474
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2009,3.3322072
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2010,3.791388
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2011,4.1950946
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2012,3.8680563
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2013,4.1469579
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2014,3.5647292
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2015,3.4127991
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2016,2.8801508
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2017,3.3020124
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2018,3.6516836
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2019,2.7521677
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2020,3.4981
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2021,2.3030062
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2022,2.2383339
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2023,2.1084356
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2024,1.83229899406433
Colombia,Female,From 18 to 24 years,Tertiary education,In education,Unemployment,2025,1.93228480669404
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2007,14.156817
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2008,16.28187
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2009,16.833212
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2010,16.498564
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2011,14.87011
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2012,12.150788
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2013,12.680952
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2014,11.572981
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2015,11.997263
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2016,13.081588
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2017,12.501864
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2018,14.550097
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2019,15.139071
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2020,21.337723
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2021,19.132208
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2022,15.309128
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2023,15.266461
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2024,16.0858554840088
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Unemployment,2025,14.0801536845803
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2007,55.829563
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2008,58.78867
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2009,56.239288
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2010,53.221375
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2011,57.064468
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2012,55.529034
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2013,56.010323
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2014,55.782196
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2015,56.710949
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2016,57.56979
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2017,60.304802
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2018,58.414291
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2019,58.428799
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2020,54.236282
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2021,53.000641
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2022,61.746719
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2023,59.311687
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2024,62.2171897888184
Colombia,Male,From 18 to 24 years,Tertiary education,Not in education,Employment,2025,61.8718722085805
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2007,51.930393
Colombia,Female,From 18 to 24 years,Tertiary education,Not in education,Employment,2008,52.451122
