"FECHA","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","GRUPO"
"2020 Nov 11 12:00:00 AM","19","CAUCA","19698","SANTANDER DE QUILICHAO","GAOR"
"2020 Nov 11 12:00:00 AM","19","CAUCA","19573","PUERTO TEJADA","GAOR"
"2020 Nov 11 12:00:00 AM","19","CAUCA","19573","PUERTO TEJADA","GAOR"
"2020 Nov 11 12:00:00 AM","27","CHOCO","27361","ISTMINA","CLAN DEL GOLFO"
"2020 Nov 11 12:00:00 AM","27","CHOCO","27025","ALTO BAUDO","CLAN DEL GOLFO"
"2020 Nov 11 12:00:00 AM","05","ANTIOQUIA","05001","MEDELLIN","GAOR"
"2020 Nov 12 12:00:00 AM","81","ARAUCA","81065","ARAUQUITA","GAOR"
"2020 Nov 20 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","GAOR"
"2020 Nov 20 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","GAOR"
"2020 Nov 20 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","GAOR"
"2020 Nov 23 12:00:00 AM","73","TOLIMA","73349","HONDA","GAOR"
"2020 Nov 23 12:00:00 AM","63","QUINDIO","63470","MONTENEGRO","GAOR"
"2020 Nov 27 12:00:00 AM","85","CASANARE","85162","MONTERREY","GAOR"
"2020 Nov 27 12:00:00 AM","05","ANTIOQUIA","05154","CAUCASIA","CAPARROS"
"2020 Nov 27 12:00:00 AM","05","ANTIOQUIA","05120","CACERES","CLAN DEL GOLFO"
"2020 Nov 27 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2020 Nov 27 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","GAOR"
"2020 Nov 27 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","CAPARROS"
"2020 Nov 27 12:00:00 AM","19","CAUCA","19001","POPAYAN","GAOR"
"2020 Nov 27 12:00:00 AM","95","GUAVIARE","95015","CALAMAR","GAOR"
"2020 Dec 02 12:00:00 AM","99","VICHADA","99773","CUMARIBO","GAOR"
"2020 Dec 02 12:00:00 AM","99","VICHADA","99773","CUMARIBO","GAOR"
"2020 Dec 02 12:00:00 AM","99","VICHADA","99773","CUMARIBO","GAOR"
"2020 Dec 04 12:00:00 AM","52","NARIÑO","52001","PASTO","CLAN DEL GOLFO"
"2020 Dec 04 12:00:00 AM","54","NORTE DE SANTANDER","54344","HACARI","PELUSOS"
