Fecha,Tasa (%)
31/05/2002,13.88
30/06/2002,13.46
31/07/2002,13.08
31/08/2002,12.88
30/09/2002,12.99
31/10/2002,12.98
30/11/2002,12.77
31/12/2002,12.74
31/01/2003,12.41
28/02/2003,12.69
31/03/2003,12.85
30/04/2003,12.1
31/05/2003,13.03
30/06/2003,12.46
31/07/2003,12.61
31/08/2003,12.84
30/09/2003,12.71
31/10/2003,13.21
30/11/2003,13.48
31/12/2003,13.34
31/01/2004,12.81
29/02/2004,13.52
31/03/2004,13.32
30/04/2004,13.46
31/05/2004,13.01
30/06/2004,12.88
31/07/2004,12.78
31/08/2004,12.77
30/09/2004,13.09
31/10/2004,13.07
30/11/2004,12.78
31/12/2004,13.3
31/01/2005,12.87
28/02/2005,13.16
31/03/2005,13
30/04/2005,12.74
31/05/2005,12.46
30/06/2005,12.39
31/07/2005,12.86
31/08/2005,12.8
30/09/2005,12.87
31/10/2005,11.81
30/11/2005,12.04
31/12/2005,11.92
31/01/2006,11.51
28/02/2006,11.85
31/03/2006,11.96
30/04/2006,11.03
31/05/2006,11.02
30/06/2006,10.95
31/07/2006,10.96
31/08/2006,11.6
30/09/2006,11.79
31/10/2006,11.45
30/11/2006,11.93
31/12/2006,12.1
31/01/2007,12.03
28/02/2007,12.55
31/03/2007,13.05
30/04/2007,13.38
31/05/2007,13.86
30/06/2007,14.29
31/07/2007,14.97
31/08/2007,15.46
30/09/2007,15.75
31/10/2007,15.61
30/11/2007,15.49
31/12/2007,15.42
31/01/2008,15.27
29/02/2008,15.4
31/03/2008,15.78
30/04/2008,16.7
31/05/2008,16.41
30/06/2008,16.26
31/07/2008,16.26
31/08/2008,16.59
30/09/2008,16.55
31/10/2008,16.45
30/11/2008,17.27
31/12/2008,17.37
31/01/2009,16.86
28/02/2009,16.34
31/03/2009,15.38
30/04/2009,14.11
31/05/2009,12.66
30/06/2009,11.78
31/07/2009,11.35
31/08/2009,10.82
30/09/2009,10.86
31/10/2009,10.47
30/11/2009,9.75
31/12/2009,9.43
31/01/2010,9.32
28/02/2010,9.34
31/03/2010,9.24
30/04/2010,9.29
31/05/2010,8.83
30/06/2010,8.78
31/07/2010,8.84
31/08/2010,8.7
30/09/2010,8.61
31/10/2010,8.55
30/11/2010,8.3
31/12/2010,8.23
31/01/2011,9.49
28/02/2011,9.79
31/03/2011,10.26
30/04/2011,10.31
31/05/2011,10.66
30/06/2011,10.97
31/07/2011,10.94
31/08/2011,11.46
30/09/2011,11.54
31/10/2011,11.7
30/11/2011,11.55
31/12/2011,11.69
31/01/2012,12.4
29/02/2012,12.56
31/03/2012,12.8
30/04/2012,12.49
31/05/2012,12.63
30/06/2012,12.25
31/07/2012,12.16
31/08/2012,12.64
30/09/2012,12.06
31/10/2012,12.13
30/11/2012,11.76
31/12/2012,11.44
31/01/2013,11.81
28/02/2013,11.52
31/03/2013,11.11
30/04/2013,10.69
31/05/2013,10.33
30/06/2013,10.12
31/07/2013,10.93
31/08/2013,10.55
30/09/2013,10.94
31/10/2013,10.77
30/11/2013,10.74
31/12/2013,9.81
31/01/2014,10.84
28/02/2014,10.46
31/03/2014,10.35
30/04/2014,10.31
31/05/2014,10.44
30/06/2014,10.24
31/07/2014,11.17
31/08/2014,11.01
30/09/2014,11.1
31/10/2014,10.96
30/11/2014,10.8
31/12/2014,10.4
31/01/2015,11.48
28/02/2015,11.01
31/03/2015,11.23
30/04/2015,10.87
31/05/2015,11.42
30/06/2015,10.89
31/07/2015,11.55
31/08/2015,10.78
30/09/2015,11.16
31/10/2015,11.53
30/11/2015,12.04
31/12/2015,12.24
31/01/2016,12.85
29/02/2016,13.27
31/03/2016,13.84
30/04/2016,14.68
31/05/2016,14.74
30/06/2016,14.69
31/07/2016,15.19
31/08/2016,15.13
30/09/2016,15.24
31/10/2016,15.32
30/11/2016,15.45
31/12/2016,14.4
31/01/2017,15.07
28/02/2017,14.82
31/03/2017,15.07
30/04/2017,14.41
31/05/2017,13.94
30/06/2017,13.43
31/07/2017,13.52
31/08/2017,13.21
30/09/2017,12.64
31/10/2017,12.99
30/11/2017,12.8
31/12/2017,11.59
31/01/2018,12.44
28/02/2018,11.98
31/03/2018,11.66
30/04/2018,12.13
31/05/2018,12.31
30/06/2018,12.24
31/07/2018,12.28
31/08/2018,12.44
30/09/2018,12.21
31/10/2018,11.92
30/11/2018,11.92
31/12/2018,11.09
31/01/2019,12.65
28/02/2019,11.89
31/03/2019,12.01
30/04/2019,11.86
31/05/2019,12.19
30/06/2019,11.44
31/07/2019,12.23
31/08/2019,11.6
30/09/2019,11.48
31/10/2019,11.49
30/11/2019,11.21
31/12/2019,10.67
31/01/2020,11.68
29/02/2020,11.15
31/03/2020,10.24
30/04/2020,9.3
31/05/2020,10.01
30/06/2020,10.01
31/07/2020,9.93
31/08/2020,9.5
30/09/2020,9.18
31/10/2020,9.44
30/11/2020,9.14
31/12/2020,8.39
31/01/2021,9.33
28/02/2021,9
31/03/2021,8.92
30/04/2021,8.66
31/05/2021,8.16
30/06/2021,8.82
31/07/2021,9.4
31/08/2021,9.41
30/09/2021,9.46
31/10/2021,9.81
30/11/2021,10.56
31/12/2021,9.87
31/01/2022,11.61
28/02/2022,11.48
31/03/2022,12.19
30/04/2022,12.9
31/05/2022,13.94
30/06/2022,14.34
31/07/2022,15.65
31/08/2022,17.77
30/09/2022,17.75
31/10/2022,19.59
30/11/2022,20.06
31/12/2022,20.69
31/01/2023,22.72
28/02/2023,22.71
31/03/2023,22.05
30/04/2023,21.04
31/05/2023,20.81
30/06/2023,20.22
31/07/2023,20.82
31/08/2023,20.84
30/09/2023,20
31/10/2023,20.23
30/11/2023,20.31
31/12/2023,18.85
31/01/2024,18.45
29/02/2024,17.78
31/03/2024,17.23
30/04/2024,17.18
31/05/2024,17
30/06/2024,16.28
31/07/2024,16.25
31/08/2024,15.77
30/09/2024,15.65
31/10/2024,15.26
30/11/2024,14.68
31/12/2024,14.03
31/01/2025,14.74
28/02/2025,14.31
31/03/2025,14.36
30/04/2025,14.78
31/05/2025,14.25
30/06/2025,13.95
31/07/2025,14.3
31/08/2025,14.17
30/09/2025,13.74
31/10/2025,14.24
30/11/2025,14.11
31/12/2025,13.89
31/01/2026,14.53
28/02/2026,14.99
31/03/2026,15.84
30/04/2026,16.58
31/05/2026,16.36
30/06/2026,16.51
31/07/2026,16.95
31/08/2026,16.77
